lon,lat,verified
7.999168,44.855314,1
14.782217,50.90555,1
12.676944,50.661667,1
12.431944,50.684722,1
12.483333,50.7,1
12.506383,50.736383,1
14.114722,53.896944,1
14.574717,50.863617,1
18.723333,48.349722,1
12.4725,50.661667,1
14.266383,51.084167,1
14.24055,51.426117,1
14.63749,58.2277,1
15.52186,58.4027,1
15.61639,58.39668,1
15.64913,58.40077,1
15.5351,58.49032,1
15.62216,58.40522,1
15.60514,58.39173,1
15.34642,58.71544,1
24.648435,61.512526,1
24.866819,61.067254,1
13.73833,51.05083,1
13.46667,51.18333,1
-4.2,37.08,1
-3.23,42.89,1
-2.74,42.97,1
-2.67,42.64,1
-2.76,43.04,1
-3.21,43.24,1
-2.09,43.02,1
-2.95,42.87,1
-3.37,43.26,1
-2.77,43.04,1
-2.67,43.1,1
-2.5,43.09,1
-3.25,42.9,1
-3.12,43.06,1
-3.25,42.88,1
-3.11,43.13,1
-2.6,43.08,1
-3.42,43.13,1
-2.78,43.06,1
-2.71,43.06,1
-3.37,43.19,1
-2.28,42.79,1
-2.67,43.15,1
-2.35,42.82,1
-3.43,43.15,1
-2.26,42.82,1
-2.66,42.64,1
-2.52,43.09,1
-2.33,42.95,1
-3.38,43.25,1
-3.14,43.14,1
-2.29,42.79,1
-3.38,43.15,1
-2.78,43.05,1
-2.62,43.09,1
-3.08,43.02,1
-3.06,42.76,1
-2.35,42.96,1
-2.78,43.04,1
-2.5,43.24,1
-3.3,43.27,1
-1.82,43.25,1
6.00681,49.8557,1
26.0881,52.128,1
14.56738,50.95467,1
13.10821,55.64106,1
-5.184657,42.989215,1
-5.201739,42.922073,1
-5.149619,43.005934,1
24.537625,61.604872,1
27.813506,64.29971,1
27.735726,62.962048,1
22.936754,63.089607,1
30.625312,62.226199,1
28.454098,63.869473,1
23.531161,61.331504,1
22.493098,61.786376,1
24.117272,60.268,1
24.389679,64.607197,1
26.755713,62.30878,1
24.434808,64.638504,1
24.436898,64.638541,1
26.325179,63.446826,1
-2.82,37.89,1
-2.97,37.78,1
-2.86,36.88,1
-2.92,37.87,1
-3.17,37.19,1
-2.91,37.88,1
-2.85,37.91,1
23.54,61.47,1
24.273877,62.233315,1
24.469209,62.106841,1
24.277718,62.23339,1
27.684615,62.877035,1
27.647365,61.172294,1
24.503796,60.971243,1
25.603465,61.166635,1
25.100103,60.262781,1
25.645404,60.399653,1
28.868935,62.956055,1
27.881112,62.875945,1
27.674745,62.881603,1
25.804309,61.011524,1
29.695002,62.615053,1
23.424559,60.789726,1
28.201322,61.078762,1
27.596774,62.865356,1
13.132617,47.4137,1
16.47306,49.07,1
18.65219,48.97686,1
18.60281,49.65236,1
18.66092,48.97281,1
8.5866,50.07645,1
17.24687,52.32713,1
20.27021,49.85803,1
18.49042,53.06987,1
16.2759,53.89007,1
18.98527,50.32759,1
20.76841,50.76039,1
17.98663,54.15385,1
26.0079,53.7128,1
7.4537,48.2575,1
7.4401,48.4136,1
7.5883,50.3555,1
6.869,45.2581,1
22.91891,53.24421,1
20.82097,53.85809,1
7.2647,46.0499,1
25.9373,45.4494,1
15.34184,52.19297,1
6.948,45.3002,1
16.40982,51.08887,1
19.41303,51.60158,1
12.7991,52.9152,1
4.695833,50.518055,1
8.97944,48.55333,1
8.75944,48.23639,1
15.75944,40.4975,1
-0.438693,53.597802,1
-0.725211,53.46707,1
-0.764326,53.441901,1
23.53389,60.616737,1
23.611867,60.661274,1
23.601413,60.666687,1
34.918923,50.47565,1
25.65,60.383333,1
23.611971,60.661617,1
24.436639,61.507035,1
18.302,57.624,1
26.02639,62.235145,1
16.01111,49.36,1
63.725851,60.932113,1
7.0251,58.1144,1
8.5057,58.3318,1
10.2161,46.66987,1
10.21379,46.62492,1
10.34911,46.71156,1
10.1508,46.67145,1
